conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,biomedical engineer,released,BME consultant | bio-medical engineer | biomedical engineering adviser | biomedical technology engineering expert | BME adviser | biomedical engineering expert | BME expert | biomedical engineering consultant | biomedical technology engineering specialist | biomedical technology engineer | biomedical engineering specialist | biomedical technology engineering adviser | BME specialist | biomedical technology engineering consultant,"Biomedical engineers combine knowledge of engineering principles and biological findings for the development of medical treatments, medicaments, and general healthcare purposes. They can develop solutions ranging from the improvement of the components in conventional medicaments up to implants developments, and tissue treatment.",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,bioengineer
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,released,criminology science researcher | criminology studies scholar | criminology studies scientist | criminology research scientist | criminology scientist | criminology researcher | criminology scholar | criminology studies researcher | criminologists | criminology studies research scientist,Criminologists study conditions pertaining to humans such as the social and psychological aspects that could lead them to commit criminal acts. They observe and analyse different factors ranging from behavioural conditions up to social background and environment of suspects in order to advise organisations on the prevention of crime.,http://data.europa.eu/esco/isco/C2632,"Sociologists, anthropologists and related professionals"
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,economics lecturer,released,economics teacher | university economics lecturer | lecturer in economics | university lecturer in economics | professor of economics | senior lecturer in economics | economics lector | economics professor | higher education economics teacher | university economics teacher | lecturer of economics | economics instructor | economics docent,"Economics lecturers are subject professors, assistant professors, teachers, lectures, assistant lecturers, mentors who instruct students in their own specialised field of study, economics. They develop curriculum, prepare classes (lectures, practical classes, seminars, trainings etc.), monitor learning outcomes, supervise student study path. They conduct academic research in their field of economics and present their findings at the conferences and in publications. They are involved in some university management functions.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,medicine lecturer,released,clinical lecturer | university lecturer in medicine | instructor of medicine | medicine instructor | lecturer of medicine | professor of medicine | medicine lector | university teacher of medicine | medicine professor | higher education teacher of medicine | clinical lecturer in medicine | medicine teacher | lecturer in medical education | lecturer in medicine | medicine docent | university medicine lecturer,"Medicine lecturers are subject professors, teachers, or lecturers, and often doctors who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, medicine, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams, for leading laboratory practices, and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of medicine, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,medical device engineer,released,engineer in biomedical systems | engineer of medical devices | biomedical systems developer | engineer of medical instruments | medical device developer | biomedical systems engineer | orthopaedic engineer | audiology engineer | medical technology engineer | medical-technical equipment engineer | medical-technical test engineer | medical instrument engineer | clinical engineer | biomedical engineer | medical-technical device engineer | engineer of medical technology,"Medical device engineers design and develop medical-technical systems, installations, and equipment such as pacemakers, MRI scanners, and X-ray machines. They monitor the whole manufacturing process from concept design to product implementation. activities undertaken include, among others, designing product improvements, developing methods and techniques to evaluate design suitability, coordinating initial production, developing test procedures, and designing manufacturing diagrams.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,electronics engineer
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,historian,released,diplomatic historian | historians | economic historian | egyptologist | military historian | political historian | art historian,"Historians research, analyze, interpret, and present the past of human societies. They analyse documents, sources, and traces from the past in order to understand the past societies.",http://data.europa.eu/esco/isco/C2633,"Philosophers, historians and political scientists"
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,chemist,released,toxicologist | chemical researcher | organic chemist | inorganic chemist | pharmacologist | chemical engineer | forensic chemist | research chemist | environmental chemist | manufacturing chemist | quality control chemist | industrial chemist | biochemist | production chemist | chemistry technician | quality assurance chemist | nuclear chemist | chemical analyst,Chemists perform laboratory research by testing and analysing the chemical structure of substances.They translate the research results into industrial production processes which are further used in the development or improvement of products. Chemists are also testing the quality of the manufactured products and their environmental impact.,http://data.europa.eu/esco/isco/C2113,Chemists
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,pharmacologist,released,pharmacology analyst | pharmacology scientist | pharmacology research analyst | pharmacology science researcher | pharmacology studies analyst | pharmacology studies research analyst | pharmacology researcher | pharmacology studies scientist | pharmacology studies researcher | pharmacology research scientist | pharmacology scholar | pharmacology studies research scientist | pharmacology studies scholar | pharmacologists,"Pharmacologists study the manner in which drugs and medicaments interact with organisms, living systems, and their parts (i.e. cells, tissues, or organs). Their research aims at identifying substances that can be ingested by humans and that exert adequate biochemical functions for curing illnesses.",http://data.europa.eu/esco/isco/C2131,"Biologists, botanists, zoologists and related professionals"
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,sociology lecturer,released,instructor in sociology | senior lecturer in sociology | social science lecturer | higher education sociology teacher | lecturer of sociology | specialist lecturer in sociology | lecturer in sociology | social science instructor | social science teacher | university sociology lecturer | lecturer of social science | sociology teacher | sociology docent | social science lector | lecturer in social science | professor of sociology | social science professor | social sciences lector | social science docent | sociology lector | sociology instructor | sociology professor,"Sociology lecturers are subject professors, teachers, or lecturers who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, sociology, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants 
for the preparation of lectures and of exams, grading papers and exams and leading review and feedback sessions for the students. They also conduct academic research in their field of sociology, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,kinesiologist,released,kinesiology science researcher | exercise scientist | psychomotor kinesiologist | exercise science researcher | exercise kinesiologist | exercise research scientist | biomechanical kinesiologist | kinesiology scientist | exercise researcher | kinesiology researcher | kinesiologists | kinesiology research scientist,"Kinesiologists study and research the movement of the body; its muscles and parts. They analyse and use scientific data and methods to improve body motion, generally in humans, through an understanding of such areas as physiology, kinetics, neurology, and biology. They recognise the effects that some factors, such as body condition, have on motion and develop solutions to improve overall mechanics and mobility.",http://data.europa.eu/esco/isco/C2269,Health professionals not elsewhere classified
